local,resultado,visitante,fecha
Boca Juniors,-,Platense,regular_a_1
Independiente,-,Colón de Santa Fe,regular_a_1
Argentinos Juniors,-,River Plate,regular_a_1
Belgrano,-,Estudiantes,regular_a_1
Gimnasia La Plata,-,Talleres,regular_a_1
Unión Santa Fe,-,Racing Club,regular_a_1
Central Córdoba (Santiago del Estero),-,Newell´s Old Boys,regular_a_1
Defensa y Justicia,-,Godoy Cruz,regular_a_1
Lanús,-,San Lorenzo de Almagro,regular_a_1
TBC,-,Tigre,regular_a_1
Vélez Sarsfield,-,Barracas Central,regular_a_1
Huracán,-,Banfield,regular_a_1
Rosario Central,-,At. Tucumán,regular_a_1
TBC,-,Arsenal de Sarandí,regular_a_1
At. Tucumán,-,TBC,regular_a_2
Platense,-,Defensa y Justicia,regular_a_2
Arsenal de Sarandí,-,Argentinos Juniors,regular_a_2
Banfield,-,Rosario Central,regular_a_2
Godoy Cruz,-,Central Córdoba (Santiago del Estero),regular_a_2
San Lorenzo de Almagro,-,Belgrano,regular_a_2
TBC,-,Boca Juniors,regular_a_2
Tigre,-,Racing Club,regular_a_2
Colón de Santa Fe,-,Gimnasia La Plata,regular_a_2
Newell´s Old Boys,-,Lanús,regular_a_2
River Plate,-,Barracas Central,regular_a_2
Talleres,-,Huracán,regular_a_2
Estudiantes,-,Unión Santa Fe,regular_a_2
Independiente,-,Vélez Sarsfield,regular_a_2
Argentinos Juniors,-,At. Tucumán,regular_a_3
Belgrano,-,Newell´s Old Boys,regular_a_3
Lanús,-,Godoy Cruz,regular_a_3
Defensa y Justicia,-,TBC,regular_a_3
Barracas Central,-,Arsenal de Sarandí,regular_a_3
Huracán,-,Colón de Santa Fe,regular_a_3
Racing Club,-,Estudiantes,regular_a_3
Rosario Central,-,Talleres,regular_a_3
Boca Juniors,-,Tigre,regular_a_3
Central Córdoba (Santiago del Estero),-,Platense,regular_a_3
Gimnasia La Plata,-,Independiente,regular_a_3
TBC,-,Banfield,regular_a_3
Unión Santa Fe,-,San Lorenzo de Almagro,regular_a_3
Vélez Sarsfield,-,River Plate,regular_a_3
Independiente,-,Huracán,regular_a_4
San Lorenzo de Almagro,-,Racing Club,regular_a_4
At. Tucumán,-,Barracas Central,regular_a_4
Banfield,-,Argentinos Juniors,regular_a_4
Gimnasia La Plata,-,Vélez Sarsfield,regular_a_4
Godoy Cruz,-,Belgrano,regular_a_4
Newell´s Old Boys,-,Unión Santa Fe,regular_a_4
Tigre,-,Estudiantes,regular_a_4
Colón de Santa Fe,-,Rosario Central,regular_a_4
TBC,-,Central Córdoba (Santiago del Estero),regular_a_4
Arsenal de Sarandí,-,River Plate,regular_a_4
Boca Juniors,-,Defensa y Justicia,regular_a_4
Platense,-,Lanús,regular_a_4
Talleres,-,TBC,regular_a_4
Argentinos Juniors,-,Talleres,regular_a_5
Belgrano,-,Platense,regular_a_5
Vélez Sarsfield,-,Arsenal de Sarandí,regular_a_5
Defensa y Justicia,-,Tigre,regular_a_5
Estudiantes,-,San Lorenzo de Almagro,regular_a_5
Racing Club,-,Newell´s Old Boys,regular_a_5
River Plate,-,At. Tucumán,regular_a_5
Lanús,-,TBC,regular_a_5
Rosario Central,-,Independiente,regular_a_5
TBC,-,Colón de Santa Fe,regular_a_5
Unión Santa Fe,-,Godoy Cruz,regular_a_5
Barracas Central,-,Banfield,regular_a_5
Central Córdoba (Santiago del Estero),-,Boca Juniors,regular_a_5
Huracán,-,Gimnasia La Plata,regular_a_5
At. Tucumán,-,Arsenal de Sarandí,regular_a_6
Godoy Cruz,-,Racing Club,regular_a_6
TBC,-,Belgrano,regular_a_6
Talleres,-,Barracas Central,regular_a_6
Gimnasia La Plata,-,Rosario Central,regular_a_6
Independiente,-,TBC,regular_a_6
Platense,-,Unión Santa Fe,regular_a_6
Newell´s Old Boys,-,Estudiantes,regular_a_6
Banfield,-,River Plate,regular_a_6
Boca Juniors,-,Lanús,regular_a_6
Colón de Santa Fe,-,Argentinos Juniors,regular_a_6
