local,visitante,gol_local,gol_visitante
Patronato,Argentinos Juniors,0,1
Sarmiento (J),Atlético Tucumán,1,0
Central Córdoba (SdE),Barracas Central,3,1
Newell's Old Boys,Defensa y Justicia,1,0
Arsenal,Rosario Central,1,1
Godoy Cruz,Tigre,1,1
Vélez Sarsfield,Aldosivi,2,0
Banfield,San Lorenzo,0,0
Huracán,Lanús,1,0
Unión,River Plate,1,0
Estudiantes (LP),Independiente,2,1
Racing Club,Gimnasia y Esgrima (LP),0,0
Platense,Talleres (C),1,0
Boca Juniors,Colón,1,1
Argentinos Juniors,Newell's Old Boys,3,0
Independiente,Arsenal,1,0
Rosario Central,Vélez Sarsfield,1,0
Huracán,Estudiantes (LP),2,3
Lanús,Barracas Central,2,0
Tigre,Central Córdoba (SdE),1,1
Aldosivi,Boca Juniors,1,2
River Plate,Patronato,4,1
Colón,Godoy Cruz,3,1
Gimnasia y Esgrima (LP),San Lorenzo,1,0
Defensa y Justicia,Racing Club,2,2
Sarmiento (J),Banfield,2,2
Atlético Tucumán,Platense,2,2
Talleres (C),Unión,0,0
Arsenal,Huracán,2,1
Estudiantes (LP),Lanús,2,1
Vélez Sarsfield,Independiente,0,0
Platense,Sarmiento (J),2,0
Boca Juniors,Rosario Central,2,1
Newell's Old Boys,River Plate,0,2
Barracas Central,Tigre,0,2
Banfield,Gimnasia y Esgrima (LP),4,0
Godoy Cruz,Aldosivi,0,2
San Lorenzo,Defensa y Justicia,3,4
Patronato,Talleres (C),0,0
Unión,Atlético Tucumán,1,0
Central Córdoba (SdE),Colón,0,2
Racing Club,Argentinos Juniors,3,0
Huracán,Vélez Sarsfield,2,0
Defensa y Justicia,Gimnasia y Esgrima (LP),3,2
Platense,Banfield,0,1
Colón,Barracas Central,2,1
Rosario Central,Godoy Cruz,1,2
Aldosivi,Central Córdoba (SdE),0,0
Independiente,Boca Juniors,2,2
Estudiantes (LP),Arsenal,3,2
Sarmiento (J),Unión,2,1
River Plate,Racing Club,2,2
Argentinos Juniors,San Lorenzo,1,1
Talleres (C),Newell's Old Boys,1,2
Lanús,Tigre,0,0
Atlético Tucumán,Patronato,1,0
Central Córdoba (SdE),Rosario Central,0,1
Unión,Platense,1,0
Barracas Central,Aldosivi,2,1
Gimnasia y Esgrima (LP),Argentinos Juniors,2,2
San Lorenzo,River Plate,0,1
Patronato,Sarmiento (J),0,1
Racing Club,Talleres (C),1,0
Banfield,Defensa y Justicia,2,3
Newell's Old Boys,Atlético Tucumán,4,0
Boca Juniors,Huracán,0,1
Vélez Sarsfield,Estudiantes (LP),1,1
Godoy Cruz,Independiente,3,3
Arsenal,Lanús,2,2
Tigre,Colón,1,0
Arsenal,Vélez Sarsfield,0,0
Platense,Patronato,1,2
Aldosivi,Tigre,1,0
Huracán,Godoy Cruz,1,3
Rosario Central,Barracas Central,1,3
Sarmiento (J),Newell's Old Boys,2,2
Talleres (C),San Lorenzo,0,1
Lanús,Colón,1,1
Unión,Banfield,2,1
River Plate,Gimnasia y Esgrima (LP),4,0
Estudiantes (LP),Boca Juniors,0,1
Atlético Tucumán,Racing Club,0,4
Argentinos Juniors,Defensa y Justicia,0,1
Independiente,Central Córdoba (SdE),1,1
Aldosivi,Patronato,3,1
Tigre,Platense,4,0
Barracas Central,Sarmiento (J),2,1
Lanús,Banfield,0,1
San Lorenzo,Huracán,0,0
Colón,Unión,0,0
Independiente,Racing Club,1,2
Rosario Central,Newell's Old Boys,0,1
