local,resultado,visitante,fecha
Patronato,0 -                                         1,Argentinos Juniors,regular_a_1
Sarmiento (J),1 -                                         0,Atlético Tucumán,regular_a_1
Central Córdoba (SdE),3 -                                         1,Barracas Central,regular_a_1
Newell's Old Boys,1 -                                         0,Defensa y Justicia,regular_a_1
Arsenal,1 -                                         1,Rosario Central,regular_a_1
Godoy Cruz,1 -                                         1,Tigre,regular_a_1
Vélez Sarsfield,2 -                                         0,Aldosivi,regular_a_1
Banfield,0 -                                         0,San Lorenzo de Almagro,regular_a_1
Huracán,1 -                                         0,Lanús,regular_a_1
Unión,1 -                                         0,River Plate,regular_a_1
Estudiantes (LP),2 -                                         1,Independiente,regular_a_1
Racing Club,0 -                                         0,Gimnasia y Esgrima (LP),regular_a_1
Platense,1 -                                         0,Talleres (C),regular_a_1
Boca Juniors,1 -                                         1,Colón,regular_a_1
Argentinos Juniors,3 -                                         0,Newell's Old Boys,regular_a_2
Independiente,1 -                                         0,Arsenal,regular_a_2
Rosario Central,1 -                                         0,Vélez Sarsfield,regular_a_2
Huracán,2 -                                         3,Estudiantes (LP),regular_a_2
Lanús,2 -                                         0,Barracas Central,regular_a_2
Tigre,1 -                                         1,Central Córdoba (SdE),regular_a_2
Aldosivi,1 -                                         2,Boca Juniors,regular_a_2
River Plate,4 -                                         1,Patronato,regular_a_2
Colón,3 -                                         1,Godoy Cruz,regular_a_2
Gimnasia y Esgrima (LP),1 -                                         0,San Lorenzo de Almagro,regular_a_2
Defensa y Justicia,2 -                                         2,Racing Club,regular_a_2
Sarmiento (J),2 -                                         2,Banfield,regular_a_2
Atlético Tucumán,2 -                                         2,Platense,regular_a_2
Talleres (C),0 -                                         0,Unión,regular_a_2
Arsenal,2 -                                         1,Huracán,regular_a_3
Estudiantes (LP),2 -                                         1,Lanús,regular_a_3
Vélez Sarsfield,0 -                                         0,Independiente,regular_a_3
Platense,2 -                                         0,Sarmiento (J),regular_a_3
Boca Juniors,2 -                                         1,Rosario Central,regular_a_3
Newell's Old Boys,0 -                                         2,River Plate,regular_a_3
Barracas Central,0 -                                         2,Tigre,regular_a_3
Banfield,4 -                                         0,Gimnasia y Esgrima (LP),regular_a_3
Godoy Cruz,0 -                                         2,Aldosivi,regular_a_3
San Lorenzo de Almagro,3 -                                         4,Defensa y Justicia,regular_a_3
Patronato,0 -                                         0,Talleres (C),regular_a_3
Unión,1 -                                         0,Atlético Tucumán,regular_a_3
Central Córdoba (SdE),0 -                                         2,Colón,regular_a_3
Racing Club,3 -                                         0,Argentinos Juniors,regular_a_3
Huracán,2 -                                         0,Vélez Sarsfield,regular_a_4
Defensa y Justicia,3 -                                         2,Gimnasia y Esgrima (LP),regular_a_4
Platense,0 -                                         1,Banfield,regular_a_4
Colón,2 -                                         1,Barracas Central,regular_a_4
Rosario Central,1 -                                         2,Godoy Cruz,regular_a_4
