local,resultado,visitante,fecha
Patronato,0 -                                         1,Argentinos Juniors,regular_a_1
Sarmiento,1 -                                         0,At. Tucumán,regular_a_1
Central Córdoba (Santiago del Estero),3 -                                         1,Barracas Central,regular_a_1
Newell´s Old Boys,1 -                                         0,Defensa y Justicia,regular_a_1
Arsenal de Sarandí,1 -                                         1,Rosario Central,regular_a_1
Godoy Cruz,1 -                                         1,Tigre,regular_a_1
Vélez Sarsfield,2 -                                         0,Aldosivi,regular_a_1
Banfield,0 -                                         0,San Lorenzo de Almagro,regular_a_1
Huracán,1 -                                         0,Lanús,regular_a_1
Unión Santa Fe,1 -                                         0,River Plate,regular_a_1
Estudiantes,2 -                                         1,Independiente,regular_a_1
Racing Club,0 -                                         0,Gimnasia La Plata,regular_a_1
Platense,1 -                                         0,Talleres,regular_a_1
Boca Juniors,1 -                                         1,Colón de Santa Fe,regular_a_1
Argentinos Juniors,3 -                                         0,Newell´s Old Boys,regular_a_2
Independiente,1 -                                         0,Arsenal de Sarandí,regular_a_2
Rosario Central,1 -                                         0,Vélez Sarsfield,regular_a_2
Huracán,2 -                                         3,Estudiantes,regular_a_2
Lanús,2 -                                         0,Barracas Central,regular_a_2
Tigre,1 -                                         1,Central Córdoba (Santiago del Estero),regular_a_2
Aldosivi,1 -                                         2,Boca Juniors,regular_a_2
River Plate,4 -                                         1,Patronato,regular_a_2
Colón de Santa Fe,3 -                                         1,Godoy Cruz,regular_a_2
Gimnasia La Plata,1 -                                         0,San Lorenzo de Almagro,regular_a_2
Defensa y Justicia,2 -                                         2,Racing Club,regular_a_2
Sarmiento,2 -                                         2,Banfield,regular_a_2
At. Tucumán,2 -                                         2,Platense,regular_a_2
Talleres,0 -                                         0,Unión Santa Fe,regular_a_2
Arsenal de Sarandí,2 -                                         1,Huracán,regular_a_3
Estudiantes,2 -                                         1,Lanús,regular_a_3
Vélez Sarsfield,0 -                                         0,Independiente,regular_a_3
Platense,2 -                                         0,Sarmiento,regular_a_3
Boca Juniors,2 -                                         1,Rosario Central,regular_a_3
Newell´s Old Boys,0 -                                         2,River Plate,regular_a_3
Barracas Central,0 -                                         2,Tigre,regular_a_3
Banfield,4 -                                         0,Gimnasia La Plata,regular_a_3
Godoy Cruz,0 -                                         2,Aldosivi,regular_a_3
San Lorenzo de Almagro,3 -                                         4,Defensa y Justicia,regular_a_3
Patronato,0 -                                         0,Talleres,regular_a_3
Unión Santa Fe,1 -                                         0,At. Tucumán,regular_a_3
Central Córdoba (Santiago del Estero),0 -                                         2,Colón de Santa Fe,regular_a_3
Racing Club,3 -                                         0,Argentinos Juniors,regular_a_3
Huracán,2 -                                         0,Vélez Sarsfield,regular_a_4
Defensa y Justicia,3 -                                         2,Gimnasia La Plata,regular_a_4
Platense,0 -                                         1,Banfield,regular_a_4
Colón de Santa Fe,2 -                                         1,Barracas Central,regular_a_4
Rosario Central,1 -                                         2,Godoy Cruz,regular_a_4
Aldosivi,0 -                                         0,Central Córdoba (Santiago del Estero),regular_a_4
Independiente,2 -                                         2,Boca Juniors,regular_a_4
Estudiantes,3 -                                         2,Arsenal de Sarandí,regular_a_4
Sarmiento,2 -                                         1,Unión Santa Fe,regular_a_4
River Plate,2 -                                         2,Racing Club,regular_a_4
Argentinos Juniors,1 -                                         1,San Lorenzo de Almagro,regular_a_4
Talleres,1 -                                         2,Newell´s Old Boys,regular_a_4
Lanús,0 -                                         0,Tigre,regular_a_4
At. Tucumán,1 -                                         0,Patronato,regular_a_4
Central Córdoba (Santiago del Estero),0 -                                         1,Rosario Central,regular_a_5
Unión Santa Fe,1 -                                         0,Platense,regular_a_5
Barracas Central,2 -                                         1,Aldosivi,regular_a_5
Gimnasia La Plata,2 -                                         2,Argentinos Juniors,regular_a_5
San Lorenzo de Almagro,0 -                                         1,River Plate,regular_a_5
Patronato,0 -                                         1,Sarmiento,regular_a_5
Racing Club,1 -                                         0,Talleres,regular_a_5
Banfield,2 -                                         3,Defensa y Justicia,regular_a_5
Newell´s Old Boys,4 -                                         0,At. Tucumán,regular_a_5
Boca Juniors,0 -                                         1,Huracán,regular_a_5
Vélez Sarsfield,1 -                                         1,Estudiantes,regular_a_5
Godoy Cruz,3 -                                         3,Independiente,regular_a_5
Arsenal de Sarandí,2 -                                         2,Lanús,regular_a_5
Tigre,1 -                                         0,Colón de Santa Fe,regular_a_5
Arsenal de Sarandí,0 -                                         0,Vélez Sarsfield,regular_a_6
Platense,1 -                                         2,Patronato,regular_a_6
Aldosivi,1 -                                         0,Tigre,regular_a_6
Huracán,1 -                                         3,Godoy Cruz,regular_a_6
Rosario Central,1 -                                         3,Barracas Central,regular_a_6
Sarmiento,2 -                                         2,Newell´s Old Boys,regular_a_6
Talleres,0 -                                         1,San Lorenzo de Almagro,regular_a_6
Lanús,1 -                                         1,Colón de Santa Fe,regular_a_6
Unión Santa Fe,2 -                                         1,Banfield,regular_a_6
River Plate,4 -                                         0,Gimnasia La Plata,regular_a_6
Estudiantes,0 -                                         1,Boca Juniors,regular_a_6
At. Tucumán,0 -                                         4,Racing Club,regular_a_6
Argentinos Juniors,0 -                                         1,Defensa y Justicia,regular_a_6
Independiente,1 -                                         1,Central Córdoba (Santiago del Estero),regular_a_6
Aldosivi,3 -                                         1,Patronato,regular_a_7
Tigre,4 -                                         0,Platense,regular_a_7
Barracas Central,2 -                                         1,Sarmiento,regular_a_7
Lanús,0 -                                         1,Banfield,regular_a_7
San Lorenzo de Almagro,0 -                                         0,Huracán,regular_a_7
Colón de Santa Fe,0 -                                         0,Unión Santa Fe,regular_a_7
Independiente,1 -                                         2,Racing Club,regular_a_7
Rosario Central,0 -                                         1,Newell´s Old Boys,regular_a_7
Gimnasia La Plata,1 -                                         1,Estudiantes,regular_a_7
River Plate,0 -                                         1,Boca Juniors,regular_a_7
Defensa y Justicia,1 -                                         1,Arsenal de Sarandí,regular_a_7
Argentinos Juniors,1 -                                         0,Vélez Sarsfield,regular_a_7
At. Tucumán,0 -                                         1,Central Córdoba (Santiago del Estero),regular_a_7
Talleres,2 -                                         1,Godoy Cruz,regular_a_7
Colón de Santa Fe,1 -                                         3,Aldosivi,regular_a_8
Gimnasia La Plata,2 -                                         1,Talleres,regular_a_8
Central Córdoba (Santiago del Estero),2 -                                         2,Huracán,regular_a_8
Patronato,2 -                                         1,Unión Santa Fe,regular_a_8
Banfield,0 -                                         2,Argentinos Juniors,regular_a_8
Barracas Central,0 -                                         1,Independiente,regular_a_8
Racing Club,4 -                                         1,Sarmiento,regular_a_8
Godoy Cruz,3 -                                         3,Estudiantes,regular_a_8
Vélez Sarsfield,3 -                                         1,Lanús,regular_a_8
Defensa y Justicia,1 -                                         2,River Plate,regular_a_8
Boca Juniors,2 -                                         2,Arsenal de Sarandí,regular_a_8
San Lorenzo de Almagro,1 -                                         1,At. Tucumán,regular_a_8
Newell´s Old Boys,3 -                                         1,Platense,regular_a_8
Tigre,2 -                                         0,Rosario Central,regular_a_8
Arsenal de Sarandí,3 -                                         3,Godoy Cruz,regular_a_9
At. Tucumán,1 -                                         2,Gimnasia La Plata,regular_a_9
Rosario Central,2 -                                         2,Colón de Santa Fe,regular_a_9
Sarmiento,2 -                                         1,San Lorenzo de Almagro,regular_a_9
Unión Santa Fe,1 -                                         0,Newell´s Old Boys,regular_a_9
Talleres,1 -                                         5,Defensa y Justicia,regular_a_9
Independiente,1 -                                         1,Tigre,regular_a_9
Vélez Sarsfield,0 -                                         0,Boca Juniors,regular_a_9
Estudiantes,5 -                                         0,Central Córdoba (Santiago del Estero),regular_a_9
Patronato,0 -                                         1,Banfield,regular_a_9
Platense,0 -                                         1,Racing Club,regular_a_9
River Plate,4 -                                         2,Argentinos Juniors,regular_a_9
Huracán,1 -                                         2,Barracas Central,regular_a_9
Lanús,1 -                                         2,Aldosivi,regular_a_9
Gimnasia La Plata,1 -                                         3,Sarmiento,regular_a_10
Tigre,2 -                                         1,Huracán,regular_a_10
Aldosivi,1 -                                         0,Rosario Central,regular_a_10
Central Córdoba (Santiago del Estero),3 -                                         3,Arsenal de Sarandí,regular_a_10
Newell´s Old Boys,1 -                                         0,Patronato,regular_a_10
San Lorenzo de Almagro,2 -                                         2,Platense,regular_a_10
Colón de Santa Fe,2 -                                         2,Independiente,regular_a_10
Barracas Central,1 -                                         6,Estudiantes,regular_a_10
Racing Club,1 -                                         0,Unión Santa Fe,regular_a_10
Defensa y Justicia,1 -                                         1,At. Tucumán,regular_a_10
Godoy Cruz,0 -                                         0,Vélez Sarsfield,regular_a_10
Argentinos Juniors,2 -                                         1,Talleres,regular_a_10
Boca Juniors,1 -                                         1,Lanús,regular_a_10
Banfield,1 -                                         2,River Plate,regular_a_10
Arsenal de Sarandí,0 -                                         1,Barracas Central,regular_a_11
Unión Santa Fe,1 -                                         2,San Lorenzo de Almagro,regular_a_11
Estudiantes,2 -                                         1,Tigre,regular_a_11
Huracán,1 -                                         1,Colón de Santa Fe,regular_a_11
Independiente,1 -                                         1,Aldosivi,regular_a_11
Platense,0 -                                         3,Gimnasia La Plata,regular_a_11
Newell´s Old Boys,1 -                                         0,Banfield,regular_a_11
Patronato,2 -                                         3,Racing Club,regular_a_11
Vélez Sarsfield,1 -                                         2,Central Córdoba (Santiago del Estero),regular_a_11
Lanús,3 -                                         1,Rosario Central,regular_a_11
Talleres,1 -                                         0,River Plate,regular_a_11
Boca Juniors,1 -                                         1,Godoy Cruz,regular_a_11
Sarmiento,2 -                                         1,Defensa y Justicia,regular_a_11
At. Tucumán,2 -                                         4,Argentinos Juniors,regular_a_11
Colón de Santa Fe,2 -                                         2,Estudiantes,regular_a_12
Gimnasia La Plata,1 -                                         0,Unión Santa Fe,regular_a_12
San Lorenzo de Almagro,1 -                                         2,Patronato,regular_a_12
Rosario Central,3 -                                         0,Independiente,regular_a_12
Central Córdoba (Santiago del Estero),1 -                                         2,Boca Juniors,regular_a_12
Banfield,3 -                                         1,Talleres,regular_a_12
Barracas Central,1 -                                         1,Vélez Sarsfield,regular_a_12
Racing Club,0 -                                         0,Newell´s Old Boys,regular_a_12
River Plate,1 -                                         1,At. Tucumán,regular_a_12
Defensa y Justicia,1 -                                         1,Platense,regular_a_12
Godoy Cruz,1 -                                         1,Lanús,regular_a_12
Tigre,0 -                                         0,Arsenal de Sarandí,regular_a_12
Aldosivi,0 -                                         2,Huracán,regular_a_12
Argentinos Juniors,0 -                                         0,Sarmiento,regular_a_12
Newell´s Old Boys,1 -                                         2,San Lorenzo de Almagro,regular_a_13
Estudiantes,2 -                                         1,Aldosivi,regular_a_13
Patronato,0 -                                         6,Gimnasia La Plata,regular_a_13
At. Tucumán,3 -                                         0,Talleres,regular_a_13
Racing Club,1 -                                         1,Banfield,regular_a_13
Vélez Sarsfield,3 -                                         2,Tigre,regular_a_13
Arsenal de Sarandí,2 -                                         0,Colón de Santa Fe,regular_a_13
Boca Juniors,2 -                                         0,Barracas Central,regular_a_13
Lanús,1 -                                         0,Independiente,regular_a_13
Sarmiento,0 -                                         7,River Plate,regular_a_13
Godoy Cruz,1 -                                         0,Central Córdoba (Santiago del Estero),regular_a_13
Unión Santa Fe,1 -                                         2,Defensa y Justicia,regular_a_13
Huracán,2 -                                         1,Rosario Central,regular_a_13
Platense,1 -                                         1,Argentinos Juniors,regular_a_13
San Lorenzo de Almagro,1 -                                         1,Racing Club,regular_a_14
Barracas Central,3 -                                         1,Godoy Cruz,regular_a_14
Aldosivi,1 -                                         2,Arsenal de Sarandí,regular_a_14
Independiente,3 -                                         0,Huracán,regular_a_14
Tigre,0 -                                         2,Boca Juniors,regular_a_14
Rosario Central,3 -                                         1,Estudiantes,regular_a_14
Argentinos Juniors,2 -                                         1,Unión Santa Fe,regular_a_14
Defensa y Justicia,1 -                                         0,Patronato,regular_a_14
Gimnasia La Plata,3 -                                         1,Newell´s Old Boys,regular_a_14
Talleres,1 -                                         0,Sarmiento,regular_a_14
River Plate,2 -                                         1,Platense,regular_a_14
Central Córdoba (Santiago del Estero),3 -                                         3,Lanús,regular_a_14
Colón de Santa Fe,1 -                                         2,Vélez Sarsfield,regular_a_14
Banfield,1 -                                         1,At. Tucumán,regular_a_14
Racing Club,5 -                                     0,Aldosivi,cuartos_a_1
Boca Juniors,2 -                                     0,Defensa y Justicia,cuartos_a_1
Estudiantes,1(3)-                                     1(4),Argentinos Juniors,cuartos_a_1
River Plate,1 -                                     2,Tigre,cuartos_a_1
Boca Juniors,0(6)-                                     0(5),Racing Club,semifinal_a_1
Tigre,1(3)-                                     1(1),Argentinos Juniors,semifinal_a_1
Boca Juniors,3 -                                     0,Tigre,final_a_1
Patronato,0 -                                         1,Argentinos Juniors,regular_a_1
Sarmiento,1 -                                         0,At. Tucumán,regular_a_1
Central Córdoba (Santiago del Estero),3 -                                         1,Barracas Central,regular_a_1
Newell´s Old Boys,1 -                                         0,Defensa y Justicia,regular_a_1
Arsenal de Sarandí,1 -                                         1,Rosario Central,regular_a_1
Godoy Cruz,1 -                                         1,Tigre,regular_a_1
Vélez Sarsfield,2 -                                         0,Aldosivi,regular_a_1
Banfield,0 -                                         0,San Lorenzo de Almagro,regular_a_1
Huracán,1 -                                         0,Lanús,regular_a_1
Unión Santa Fe,1 -                                         0,River Plate,regular_a_1
Estudiantes,2 -                                         1,Independiente,regular_a_1
Racing Club,0 -                                         0,Gimnasia La Plata,regular_a_1
Platense,1 -                                         0,Talleres,regular_a_1
Boca Juniors,1 -                                         1,Colón de Santa Fe,regular_a_1
Argentinos Juniors,3 -                                         0,Newell´s Old Boys,regular_a_2
Independiente,1 -                                         0,Arsenal de Sarandí,regular_a_2
Rosario Central,1 -                                         0,Vélez Sarsfield,regular_a_2
Huracán,2 -                                         3,Estudiantes,regular_a_2
Lanús,2 -                                         0,Barracas Central,regular_a_2
Tigre,1 -                                         1,Central Córdoba (Santiago del Estero),regular_a_2
Aldosivi,1 -                                         2,Boca Juniors,regular_a_2
River Plate,4 -                                         1,Patronato,regular_a_2
Colón de Santa Fe,3 -                                         1,Godoy Cruz,regular_a_2
Gimnasia La Plata,1 -                                         0,San Lorenzo de Almagro,regular_a_2
Defensa y Justicia,2 -                                         2,Racing Club,regular_a_2
Sarmiento,2 -                                         2,Banfield,regular_a_2
At. Tucumán,2 -                                         2,Platense,regular_a_2
Talleres,0 -                                         0,Unión Santa Fe,regular_a_2
Arsenal de Sarandí,2 -                                         1,Huracán,regular_a_3
Estudiantes,2 -                                         1,Lanús,regular_a_3
Vélez Sarsfield,0 -                                         0,Independiente,regular_a_3
Platense,2 -                                         0,Sarmiento,regular_a_3
Boca Juniors,2 -                                         1,Rosario Central,regular_a_3
Newell´s Old Boys,0 -                                         2,River Plate,regular_a_3
Barracas Central,0 -                                         2,Tigre,regular_a_3
Banfield,4 -                                         0,Gimnasia La Plata,regular_a_3
Godoy Cruz,0 -                                         2,Aldosivi,regular_a_3
San Lorenzo de Almagro,3 -                                         4,Defensa y Justicia,regular_a_3
Patronato,0 -                                         0,Talleres,regular_a_3
Unión Santa Fe,1 -                                         0,At. Tucumán,regular_a_3
Central Córdoba (Santiago del Estero),0 -                                         2,Colón de Santa Fe,regular_a_3
Racing Club,3 -                                         0,Argentinos Juniors,regular_a_3
Huracán,2 -                                         0,Vélez Sarsfield,regular_a_4
Defensa y Justicia,3 -                                         2,Gimnasia La Plata,regular_a_4
Platense,0 -                                         1,Banfield,regular_a_4
Colón de Santa Fe,2 -                                         1,Barracas Central,regular_a_4
Rosario Central,1 -                                         2,Godoy Cruz,regular_a_4
Aldosivi,0 -                                         0,Central Córdoba (Santiago del Estero),regular_a_4
Independiente,2 -                                         2,Boca Juniors,regular_a_4
Estudiantes,3 -                                         2,Arsenal de Sarandí,regular_a_4
Sarmiento,2 -                                         1,Unión Santa Fe,regular_a_4
River Plate,2 -                                         2,Racing Club,regular_a_4
Argentinos Juniors,1 -                                         1,San Lorenzo de Almagro,regular_a_4
Talleres,1 -                                         2,Newell´s Old Boys,regular_a_4
Lanús,0 -                                         0,Tigre,regular_a_4
At. Tucumán,1 -                                         0,Patronato,regular_a_4
Central Córdoba (Santiago del Estero),0 -                                         1,Rosario Central,regular_a_5
Unión Santa Fe,1 -                                         0,Platense,regular_a_5
Barracas Central,2 -                                         1,Aldosivi,regular_a_5
Gimnasia La Plata,2 -                                         2,Argentinos Juniors,regular_a_5
San Lorenzo de Almagro,0 -                                         1,River Plate,regular_a_5
Patronato,0 -                                         1,Sarmiento,regular_a_5
Racing Club,1 -                                         0,Talleres,regular_a_5
Banfield,2 -                                         3,Defensa y Justicia,regular_a_5
Newell´s Old Boys,4 -                                         0,At. Tucumán,regular_a_5
Boca Juniors,0 -                                         1,Huracán,regular_a_5
Vélez Sarsfield,1 -                                         1,Estudiantes,regular_a_5
Godoy Cruz,3 -                                         3,Independiente,regular_a_5
Arsenal de Sarandí,2 -                                         2,Lanús,regular_a_5
Tigre,1 -                                         0,Colón de Santa Fe,regular_a_5
Arsenal de Sarandí,0 -                                         0,Vélez Sarsfield,regular_a_6
Platense,1 -                                         2,Patronato,regular_a_6
Aldosivi,1 -                                         0,Tigre,regular_a_6
Huracán,1 -                                         3,Godoy Cruz,regular_a_6
Rosario Central,1 -                                         3,Barracas Central,regular_a_6
Sarmiento,2 -                                         2,Newell´s Old Boys,regular_a_6
Talleres,0 -                                         1,San Lorenzo de Almagro,regular_a_6
Lanús,1 -                                         1,Colón de Santa Fe,regular_a_6
Unión Santa Fe,2 -                                         1,Banfield,regular_a_6
River Plate,4 -                                         0,Gimnasia La Plata,regular_a_6
Estudiantes,0 -                                         1,Boca Juniors,regular_a_6
At. Tucumán,0 -                                         4,Racing Club,regular_a_6
Argentinos Juniors,0 -                                         1,Defensa y Justicia,regular_a_6
Independiente,1 -                                         1,Central Córdoba (Santiago del Estero),regular_a_6
Aldosivi,3 -                                         1,Patronato,regular_a_7
Tigre,4 -                                         0,Platense,regular_a_7
Barracas Central,2 -                                         1,Sarmiento,regular_a_7
Lanús,0 -                                         1,Banfield,regular_a_7
San Lorenzo de Almagro,0 -                                         0,Huracán,regular_a_7
Colón de Santa Fe,0 -                                         0,Unión Santa Fe,regular_a_7
Independiente,1 -                                         2,Racing Club,regular_a_7
Rosario Central,0 -                                         1,Newell´s Old Boys,regular_a_7
Gimnasia La Plata,1 -                                         1,Estudiantes,regular_a_7
River Plate,0 -                                         1,Boca Juniors,regular_a_7
Defensa y Justicia,1 -                                         1,Arsenal de Sarandí,regular_a_7
Argentinos Juniors,1 -                                         0,Vélez Sarsfield,regular_a_7
At. Tucumán,0 -                                         1,Central Córdoba (Santiago del Estero),regular_a_7
Talleres,2 -                                         1,Godoy Cruz,regular_a_7
Colón de Santa Fe,1 -                                         3,Aldosivi,regular_a_8
Gimnasia La Plata,2 -                                         1,Talleres,regular_a_8
Central Córdoba (Santiago del Estero),2 -                                         2,Huracán,regular_a_8
Patronato,2 -                                         1,Unión Santa Fe,regular_a_8
Banfield,0 -                                         2,Argentinos Juniors,regular_a_8
Barracas Central,0 -                                         1,Independiente,regular_a_8
Racing Club,4 -                                         1,Sarmiento,regular_a_8
Godoy Cruz,3 -                                         3,Estudiantes,regular_a_8
Vélez Sarsfield,3 -                                         1,Lanús,regular_a_8
Defensa y Justicia,1 -                                         2,River Plate,regular_a_8
Boca Juniors,2 -                                         2,Arsenal de Sarandí,regular_a_8
San Lorenzo de Almagro,1 -                                         1,At. Tucumán,regular_a_8
Newell´s Old Boys,3 -                                         1,Platense,regular_a_8
Tigre,2 -                                         0,Rosario Central,regular_a_8
Arsenal de Sarandí,3 -                                         3,Godoy Cruz,regular_a_9
At. Tucumán,1 -                                         2,Gimnasia La Plata,regular_a_9
Rosario Central,2 -                                         2,Colón de Santa Fe,regular_a_9
Sarmiento,2 -                                         1,San Lorenzo de Almagro,regular_a_9
