local,resultado,visitante,fecha
Racing Club,0 -                                         0,Unión Santa Fe,regular_a_1
Colón de Santa Fe,0 -                                         1,Patronato,regular_a_1
San Lorenzo de Almagro,3 -                                         2,Godoy Cruz,regular_a_1
Lanús,1 -                                         1,Gimnasia La Plata,regular_a_1
Argentinos Juniors,1 -                                         1,River Plate,regular_a_1
Estudiantes,1 -                                         0,Aldosivi,regular_a_1
Newell´s Old Boys,2 -                                         0,Central Córdoba (Santiago del Estero),regular_a_1
Talleres,1 -                                         0,Vélez Sarsfield,regular_a_1
Defensa y Justicia,0 -                                         1,Independiente,regular_a_1
Boca Juniors,0 -                                         0,Huracán,regular_a_1
Arsenal de Sarandí,1 -                                         0,Banfield,regular_a_1
At. Tucumán,1 -                                         2,Rosario Central,regular_a_1
Huracán,2 -                                         0,Colón de Santa Fe,regular_a_2
Aldosivi,0 -                                         0,Argentinos Juniors,regular_a_2
Rosario Central,1 -                                         0,Talleres,regular_a_2
Central Córdoba (Santiago del Estero),1 -                                         0,At. Tucumán,regular_a_2
Vélez Sarsfield,2 -                                         2,Racing Club,regular_a_2
Unión Santa Fe,2 -                                         1,Defensa y Justicia,regular_a_2
Gimnasia La Plata,0 -                                         1,San Lorenzo de Almagro,regular_a_2
Banfield,1 -                                         0,Estudiantes,regular_a_2
River Plate,3 -                                         0,Lanús,regular_a_2
Patronato,0 -                                         2,Boca Juniors,regular_a_2
Godoy Cruz,0 -                                         2,Arsenal de Sarandí,regular_a_2
Independiente,2 -                                         3,Newell´s Old Boys,regular_a_2
Argentinos Juniors,3 -                                         2,Banfield,regular_a_3
Talleres,1 -                                         1,Central Córdoba (Santiago del Estero),regular_a_3
Newell´s Old Boys,2 -                                         0,Unión Santa Fe,regular_a_3
San Lorenzo de Almagro,2 -                                         2,Rosario Central,regular_a_3
Racing Club,1 -                                         6,River Plate,regular_a_3
Patronato,2 -                                         1,Huracán,regular_a_3
Defensa y Justicia,0 -                                         3,Arsenal de Sarandí,regular_a_3
Lanús,3 -                                         1,Vélez Sarsfield,regular_a_3
Boca Juniors,2 -                                         0,Aldosivi,regular_a_3
At. Tucumán,1 -                                         0,Godoy Cruz,regular_a_3
Colón de Santa Fe,2 -                                         1,Gimnasia La Plata,regular_a_3
Estudiantes,3 -                                         0,Independiente,regular_a_3
Arsenal de Sarandí,0 -                                         2,San Lorenzo de Almagro,regular_a_4
Gimnasia La Plata,0 -                                         1,Defensa y Justicia,regular_a_4
Vélez Sarsfield,3 -                                         1,Newell´s Old Boys,regular_a_4
Rosario Central,1 -                                         1,Patronato,regular_a_4
Independiente,2 -                                         0,Colón de Santa Fe,regular_a_4
Godoy Cruz,2 -                                         1,Estudiantes,regular_a_4
Unión Santa Fe,1 -                                         2,Lanús,regular_a_4
Central Córdoba (Santiago del Estero),0 -                                         0,Racing Club,regular_a_4
River Plate,0 -                                         1,Talleres,regular_a_4
Banfield,0 -                                         1,Boca Juniors,regular_a_4
Aldosivi,3 -                                         0,At. Tucumán,regular_a_4
Huracán,0 -                                         0,Argentinos Juniors,regular_a_4
Lanús,1 -                                         0,Central Córdoba (Santiago del Estero),regular_a_5
Estudiantes,0 -                                         1,Vélez Sarsfield,regular_a_5
Defensa y Justicia,0 -                                         0,Banfield,regular_a_5
Argentinos Juniors,1 -                                         0,Gimnasia La Plata,regular_a_5
San Lorenzo de Almagro,2 -                                         1,Unión Santa Fe,regular_a_5
Patronato,1 -                                         0,Independiente,regular_a_5
Racing Club,3 -                                         1,Godoy Cruz,regular_a_5
At. Tucumán,1 -                                         0,Arsenal de Sarandí,regular_a_5
Colón de Santa Fe,1 -                                         1,Rosario Central,regular_a_5
Talleres,2 -                                         1,Aldosivi,regular_a_5
Newell´s Old Boys,4 -                                         1,Huracán,regular_a_5
River Plate,0 -                                         0,Boca Juniors,regular_a_5
Arsenal de Sarandí,4 -                                         1,Unión Santa Fe,regular_a_6
Central Córdoba (Santiago del Estero),1 -                                         2,Defensa y Justicia,regular_a_6
Godoy Cruz,0 -                                         1,Argentinos Juniors,regular_a_6
Colón de Santa Fe,2 -                                         1,San Lorenzo de Almagro,regular_a_6
Huracán,0 -                                         4,River Plate,regular_a_6
Gimnasia La Plata,1 -                                         2,Racing Club,regular_a_6
Banfield,0 -                                         1,Talleres,regular_a_6
Rosario Central,1 -                                         1,Newell´s Old Boys,regular_a_6
Independiente,2 -                                         2,Lanús,regular_a_6
Boca Juniors,1 -                                         0,Estudiantes,regular_a_6
Aldosivi,1 -                                         1,Patronato,regular_a_6
Vélez Sarsfield,1 -                                         0,At. Tucumán,regular_a_6
Unión Santa Fe,0 -                                         0,Rosario Central,regular_a_7
