local,resultado,visitante,fecha
Barracas Central,1 -                                         1,Central Córdoba (Santiago del Estero),regular_a_1
At. Tucumán,1 -                                         1,Colón de Santa Fe,regular_a_1
San Lorenzo de Almagro,1 -                                         1,Independiente,regular_a_1
Banfield,1 -                                         2,Newell´s Old Boys,regular_a_1
Patronato,1 -                                         1,Vélez Sarsfield,regular_a_1
Platense,2 -                                         1,Godoy Cruz,regular_a_1
Racing Club,2 -                                         0,Huracán,regular_a_1
Talleres,2 -                                         0,Sarmiento,regular_a_1
Unión Santa Fe,1 -                                         2,Tigre,regular_a_1
Estudiantes,1 -                                         1,Gimnasia La Plata,regular_a_1
Boca Juniors,2 -                                         1,Arsenal de Sarandí,regular_a_1
Defensa y Justicia,0 -                                         0,River Plate,regular_a_1
Rosario Central,0 -                                         0,Lanús,regular_a_1
Argentinos Juniors,2 -                                         1,Aldosivi,regular_a_1
Newell´s Old Boys,0 -                                         0,San Lorenzo de Almagro,regular_a_2
Gimnasia La Plata,2 -                                         0,Patronato,regular_a_2
Aldosivi,0 -                                         1,Estudiantes,regular_a_2
Lanús,1 -                                         1,Defensa y Justicia,regular_a_2
Huracán,2 -                                         0,Rosario Central,regular_a_2
Independiente,1 -                                         0,Talleres,regular_a_2
Arsenal de Sarandí,0 -                                         0,Banfield,regular_a_2
Tigre,1 -                                         1,Barracas Central,regular_a_2
Sarmiento,1 -                                         0,Argentinos Juniors,regular_a_2
River Plate,0 -                                         0,At. Tucumán,regular_a_2
Colón de Santa Fe,2 -                                         2,Unión Santa Fe,regular_a_2
Godoy Cruz,2 -                                         0,Racing Club,regular_a_2
Vélez Sarsfield,0 -                                         1,Platense,regular_a_2
Central Córdoba (Santiago del Estero),1 -                                         0,Boca Juniors,regular_a_2
San Lorenzo de Almagro,3 -                                         3,Arsenal de Sarandí,regular_a_3
Patronato,1 -                                         0,Aldosivi,regular_a_3
Talleres,0 -                                         1,Newell´s Old Boys,regular_a_3
Defensa y Justicia,1 -                                         1,Huracán,regular_a_3
Estudiantes,2 -                                         1,Sarmiento,regular_a_3
Barracas Central,1 -                                         2,Unión Santa Fe,regular_a_3
At. Tucumán,2 -                                         1,Lanús,regular_a_3
Banfield,2 -                                         1,Central Córdoba (Santiago del Estero),regular_a_3
Colón de Santa Fe,1 -                                         0,River Plate,regular_a_3
Boca Juniors,5 -                                         3,Tigre,regular_a_3
Argentinos Juniors,2 -                                         1,Independiente,regular_a_3
Rosario Central,1 -                                         0,Godoy Cruz,regular_a_3
Platense,1 -                                         1,Gimnasia La Plata,regular_a_3
Racing Club,2 -                                         0,Vélez Sarsfield,regular_a_3
Arsenal de Sarandí,1 -                                         1,Talleres,regular_a_4
Sarmiento,3 -                                         1,Patronato,regular_a_4
Tigre,0 -                                         1,Banfield,regular_a_4
Huracán,0 -                                         0,At. Tucumán,regular_a_4
Lanús,1 -                                         0,Colón de Santa Fe,regular_a_4
