local,resultado,visitante,fecha
Boca Juniors,-,Platense,regular_a_1
Independiente,-,Colón,regular_a_1
Argentinos Juniors,-,River Plate,regular_a_1
Belgrano,-,Estudiantes (LP),regular_a_1
Gimnasia y Esgrima (LP),-,Talleres (C),regular_a_1
Unión,-,Racing Club,regular_a_1
Central Córdoba (SdE),-,Newell's Old Boys,regular_a_1
Defensa y Justicia,-,Godoy Cruz,regular_a_1
Lanús,-,San Lorenzo,regular_a_1
Sarmiento (J),-,Tigre,regular_a_1
Vélez Sarsfield,-,Barracas Central,regular_a_1
Huracán,-,Banfield,regular_a_1
Rosario Central,-,Atlético Tucumán,regular_a_1
Instituto,-,Arsenal,regular_a_1
Atlético Tucumán,-,Instituto,regular_a_2
Platense,-,Defensa y Justicia,regular_a_2
Arsenal,-,Argentinos Juniors,regular_a_2
Banfield,-,Rosario Central,regular_a_2
Godoy Cruz,-,Central Córdoba (SdE),regular_a_2
San Lorenzo,-,Belgrano,regular_a_2
Sarmiento (J),-,Boca Juniors,regular_a_2
Tigre,-,Racing Club,regular_a_2
Colón,-,Gimnasia y Esgrima (LP),regular_a_2
Newell's Old Boys,-,Lanús,regular_a_2
River Plate,-,Barracas Central,regular_a_2
Talleres (C),-,Huracán,regular_a_2
Estudiantes (LP),-,Unión,regular_a_2
Independiente,-,Vélez Sarsfield,regular_a_2
Argentinos Juniors,-,Atlético Tucumán,regular_a_3
Belgrano,-,Newell's Old Boys,regular_a_3
Lanús,-,Godoy Cruz,regular_a_3
Defensa y Justicia,-,Sarmiento (J),regular_a_3
Barracas Central,-,Arsenal,regular_a_3
Huracán,-,Colón,regular_a_3
Racing Club,-,Estudiantes (LP),regular_a_3
Rosario Central,-,Talleres (C),regular_a_3
Boca Juniors,-,Tigre,regular_a_3
Central Córdoba (SdE),-,Platense,regular_a_3
Gimnasia y Esgrima (LP),-,Independiente,regular_a_3
Instituto,-,Banfield,regular_a_3
Unión,-,San Lorenzo,regular_a_3
Vélez Sarsfield,-,River Plate,regular_a_3
