equipo,goles
River Plate,1.490470297029703
Racing Club,1.3588265436843454
Boca Juniors,1.3320867614061331
Argentinos Juniors,1.2927736450584484
Estudiantes (LP),1.2869588527007103
Tigre,1.246984649122807
Rosario Central,1.1830065359477124
Defensa y Justicia,1.1670355422471033
San Lorenzo,1.1552395008721321
Lanús,1.1349566652909615
Arsenal,1.1324118866620594
Talleres (C),1.1215904464649207
Newell's Old Boys,1.1058839665340832
Gimnasia y Esgrima (LP),1.092883485862587
Central Córdoba (SdE),1.08536415541011
Independiente,1.079295154185022
Barracas Central,1.0705589374654123
Godoy Cruz,1.0563979027915544
Vélez Sarsfield,1.0313090418353577
Atlético Tucumán,1.0136742786817996
Sarmiento (J),1.005044136191677
Huracán,1.0002797985450476
Platense,0.9907472311790271
Banfield,0.9830531826949573
Colón,0.9735843754390895
Unión,0.9455494427987022
Instituto,0.9253314724354501
Belgrano,0.9236693714757255
