Equipo,Puntos
River Plate,24.54
Boca Juniors,23.904
Racing Club,22.402
Defensa y Justicia,20.948
Rosario Central,20.346
San Lorenzo,20.11
Vélez Sarsfield,19.98
Argentinos Juniors,19.824
Talleres (C),19.262
Estudiantes (LP),19.056
Newell's Old Boys,18.352
Gimnasia y Esgrima (LP),18.176
Tigre,17.988
Independiente,17.806
Atlético Tucumán,17.694
Lanús,17.476
Banfield,17.442
Belgrano,17.386
Instituto,17.082
Barracas Central,16.966
Arsenal,16.708
Huracán,16.376
Platense,16.196
Central Córdoba (SdE),16.134
Colón,15.21
Sarmiento (J),15.194
Unión,15.054
Godoy Cruz,13.884
