equipo,goles_anotados,goles_recibidos
River Plate,1.828125,0.796875
Racing Club,1.5307692307692307,1.0307692307692307
Estudiantes (LP),1.515625,1.359375
Argentinos Juniors,1.5076923076923077,1.2384615384615385
Tigre,1.4767441860465116,1.3255813953488371
Boca Juniors,1.4621212121212122,0.75
Defensa y Justicia,1.296875,0.984375
Arsenal,1.253968253968254,1.3095238095238095
Lanús,1.2301587301587302,1.2619047619047619
Talleres (C),1.2142857142857142,1.1746031746031746
Rosario Central,1.1984126984126984,1.2063492063492063
San Lorenzo,1.1904761904761905,1.0
Newell's Old Boys,1.1746031746031746,0.9761904761904762
Godoy Cruz,1.1428571428571428,1.5634920634920635
Independiente,1.126984126984127,1.1587301587301588
Barracas Central,1.125,1.4125
Gimnasia y Esgrima (LP),1.1031746031746033,1.1031746031746033
Vélez Sarsfield,1.0634920634920635,0.8809523809523809
Sarmiento (J),1.05,1.2875
Central Córdoba (SdE),1.0238095238095237,1.3174603174603174
Atlético Tucumán,0.9841269841269841,1.1507936507936507
Huracán,0.9444444444444444,1.126984126984127
Patronato,0.9405940594059405,1.4356435643564356
Banfield,0.9206349206349206,1.0873015873015872
Platense,0.9,1.225
Colón,0.8968253968253969,1.4285714285714286
Aldosivi,0.8737864077669902,1.5533980582524272
Unión,0.8650793650793651,1.1666666666666667
Instituto,0.8,1.2
Belgrano,0.8,0.88
