local,visitante,campeon
River Plate,River Plate,River Plate
Rosario Central,San Lorenzo,San Lorenzo
River Plate,River Plate,River Plate
River Plate,San Lorenzo,River Plate
Boca Juniors,Racing Club,Boca Juniors
Talleres (C),Racing Club,Talleres (C)
Argentinos Juniors,Lanús,Lanús
Vélez Sarsfield,Lanús,Lanús
Estudiantes (LP),Central Córdoba (SdE),Estudiantes (LP)
Boca Juniors,Instituto,Instituto
Gimnasia y Esgrima (LP),Racing Club,Racing Club
Arsenal,Boca Juniors,Arsenal
River Plate,Racing Club,Racing Club
River Plate,Defensa y Justicia,Defensa y Justicia
Gimnasia y Esgrima (LP),Defensa y Justicia,Gimnasia y Esgrima (LP)
Banfield,Lanús,Lanús
Tigre,Tigre,Tigre
Atlético Tucumán,Estudiantes (LP),Estudiantes (LP)
Boca Juniors,Boca Juniors,Boca Juniors
Colón,Boca Juniors,Colón
Belgrano,Talleres (C),Belgrano
Defensa y Justicia,Tigre,Defensa y Justicia
Lanús,Newell's Old Boys,Lanús
Atlético Tucumán,Atlético Tucumán,Atlético Tucumán
Atlético Tucumán,Boca Juniors,Boca Juniors
Belgrano,Banfield,Banfield
River Plate,Racing Club,River Plate
Belgrano,Racing Club,Racing Club
Talleres (C),Newell's Old Boys,Newell's Old Boys
Defensa y Justicia,Rosario Central,Defensa y Justicia
Lanús,Racing Club,Racing Club
Sarmiento (J),Racing Club,Sarmiento (J)
Tigre,Boca Juniors,Boca Juniors
Newell's Old Boys,Boca Juniors,Boca Juniors
Banfield,Estudiantes (LP),Estudiantes (LP)
Racing Club,Rosario Central,Rosario Central
Racing Club,Boca Juniors,Racing Club
Sarmiento (J),Banfield,Sarmiento (J)
San Lorenzo,Racing Club,Racing Club
Vélez Sarsfield,Vélez Sarsfield,Vélez Sarsfield
Racing Club,Boca Juniors,Racing Club
Vélez Sarsfield,Instituto,Vélez Sarsfield
Racing Club,Barracas Central,Barracas Central
Central Córdoba (SdE),Defensa y Justicia,Central Córdoba (SdE)
Boca Juniors,Racing Club,Boca Juniors
Banfield,Defensa y Justicia,Banfield
River Plate,Racing Club,River Plate
Newell's Old Boys,River Plate,River Plate
Independiente,Racing Club,Racing Club
Rosario Central,Central Córdoba (SdE),Central Córdoba (SdE)
Arsenal,Barracas Central,Arsenal
Racing Club,Newell's Old Boys,Newell's Old Boys
Talleres (C),Defensa y Justicia,Talleres (C)
