local,gol_local,visitante,gol_visitante
Independiente,2,Colón,1
Argentinos Juniors,1,River Plate,0
Gimnasia y Esgrima (LP),0,Talleres (C),0
Vélez Sarsfield,1,Barracas Central,1
Huracán,2,Banfield,1
Rosario Central,2,Atlético Tucumán,2
Instituto,0,Arsenal,2
Atlético Tucumán,1,Instituto,3
Arsenal,2,Argentinos Juniors,2
Banfield,3,Rosario Central,2
Colón,0,Gimnasia y Esgrima (LP),1
River Plate,2,Barracas Central,2
Talleres (C),2,Huracán,1
Independiente,2,Vélez Sarsfield,2
Argentinos Juniors,0,Atlético Tucumán,0
Barracas Central,1,Arsenal,2
Huracán,0,Colón,2
Rosario Central,0,Talleres (C),2
Gimnasia y Esgrima (LP),2,Independiente,0
Instituto,0,Banfield,1
Vélez Sarsfield,1,River Plate,2
Independiente,3,Huracán,2
Atlético Tucumán,1,Barracas Central,2
Banfield,1,Argentinos Juniors,0
Gimnasia y Esgrima (LP),2,Vélez Sarsfield,2
Colón,1,Rosario Central,2
Arsenal,0,River Plate,0
Talleres (C),2,Instituto,0
Argentinos Juniors,2,Talleres (C),2
Vélez Sarsfield,2,Arsenal,0
River Plate,2,Atlético Tucumán,1
Rosario Central,0,Independiente,0
Instituto,0,Colón,2
Barracas Central,0,Banfield,1
Huracán,0,Gimnasia y Esgrima (LP),2
Atlético Tucumán,2,Arsenal,2
Talleres (C),1,Barracas Central,0
Gimnasia y Esgrima (LP),0,Rosario Central,1
Independiente,3,Instituto,3
Banfield,2,River Plate,2
Colón,0,Argentinos Juniors,1
Huracán,0,Vélez Sarsfield,0
Rosario Central,2,Newell's Old Boys,1
Instituto,2,Godoy Cruz,1
Talleres (C),2,Belgrano,0
Vélez Sarsfield,2,Tigre,1
Banfield,1,Lanús,0
Atlético Tucumán,0,Central Córdoba (SdE),2
Barracas Central,2,Sarmiento (J),1
Colón,2,Unión,0
Arsenal,1,Banfield,2
Barracas Central,0,Colón,2
River Plate,1,Talleres (C),0
Instituto,1,Gimnasia y Esgrima (LP),2
Vélez Sarsfield,2,Atlético Tucumán,0
Rosario Central,0,Huracán,1
Argentinos Juniors,2,Independiente,0
Talleres (C),0,Arsenal,2
Banfield,2,Atlético Tucumán,2
Colón,1,River Plate,0
Gimnasia y Esgrima (LP),2,Argentinos Juniors,2
Independiente,3,Barracas Central,0
Huracán,1,Instituto,0
